id,series,period,dataValue,status,units,subject,groupName
1,BDCQ.SEA1AA,2011.06,80078,F,Number,Business Data Collection - BDC,Industry by employment variable
2,BDCQ.SEA1AA,2011.09,78324,F,Number,Business Data Collection - BDC,Industry by employment variable
3,BDCQ.SEA1AA,2011.12,85850,F,Number,Business Data Collection - BDC,Industry by employment variable
4,BDCQ.SEA1AA,2012.03,90743,F,Number,Business Data Collection - BDC,Industry by employment variable
5,BDCQ.SEA1AA,2012.06,81780,F,Number,Business Data Collection - BDC,Industry by employment variable
6,BDCQ.SEA1AA,2012.09,79261,F,Number,Business Data Collection - BDC,Industry by employment variable
7,BDCQ.SEA1AA,2012.12,87793,F,Number,Business Data Collection - BDC,Industry by employment variable
8,BDCQ.SEA1AA,2013.03,91571,F,Number,Business Data Collection - BDC,Industry by employment variable
9,BDCQ.SEA1AA,2013.06,81687,F,Number,Business Data Collection - BDC,Industry by employment variable
10,BDCQ.SEA1AA,2013.09,81471,F,Number,Business Data Collection - BDC,Industry by employment variable
11,BDCQ.SEA1AA,2013.12,93950,F,Number,Business Data Collection - BDC,Industry by employment variable
12,BDCQ.SEA1AA,2014.03,97208,F,Number,Business Data Collection - BDC,Industry by employment variable
13,BDCQ.SEA1AA,2014.06,85879,F,Number,Business Data Collection - BDC,Industry by employment variable
14,BDCQ.SEA1AA,2014.09,84447,F,Number,Business Data Collection - BDC,Industry by employment variable
15,BDCQ.SEA1AA,2014.12,95075,F,Number,Business Data Collection - BDC,Industry by employment variable
16,BDCQ.SEA1AA,2015.03,98202,F,Number,Business Data Collection - BDC,Industry by employment variable
17,BDCQ.SEA1AA,2015.06,87987,F,Number,Business Data Collection - BDC,Industry by employment variable
18,BDCQ.SEA1AA,2015.09,84529,F,Number,Business Data Collection - BDC,Industry by employment variable
19,BDCQ.SEA1AA,2015.12,96848,F,Number,Business Data Collection - BDC,Industry by employment variable
20,BDCQ.SEA1AA,2016.03,99291,F,Number,Business Data Collection - BDC,Industry by employment variable
21,BDCQ.SEA1AA,2016.06,88716,F,Number,Business Data Collection - BDC,Industry by employment variable
22,BDCQ.SEA1AA,2016.09,85933,F,Number,Business Data Collection - BDC,Industry by employment variable
23,BDCQ.SEA1AA,2016.12,96540,F,Number,Business Data Collection - BDC,Industry by employment variable
24,BDCQ.SEA1AA,2017.03,98994,F,Number,Business Data Collection - BDC,Industry by employment variable
25,BDCQ.SEA1AA,2017.06,90510,F,Number,Business Data Collection - BDC,Industry by employment variable
26,BDCQ.SEA1AA,2017.09,87089,F,Number,Business Data Collection - BDC,Industry by employment variable
27,BDCQ.SEA1AA,2017.12,98933,F,Number,Business Data Collection - BDC,Industry by employment variable
28,BDCQ.SEA1AA,2018.03,101168,F,Number,Business Data Collection - BDC,Industry by employment variable
29,BDCQ.SEA1AA,2018.06,90766,F,Number,Business Data Collection - BDC,Industry by employment variable
30,BDCQ.SEA1AA,2018.09,86929,F,Number,Business Data Collection - BDC,Industry by employment variable
31,BDCQ.SEA1AA,2018.12,100290,F,Number,Business Data Collection - BDC,Industry by employment variable
32,BDCQ.SEA1AA,2019.03,102031,F,Number,Business Data Collection - BDC,Industry by employment variable
33,BDCQ.SEA1AA,2019.06,90836,F,Number,Business Data Collection - BDC,Industry by employment variable
34,BDCQ.SEA1AA,2019.09,88032,F,Number,Business Data Collection - BDC,Industry by employment variable
35,BDCQ.SEA1AA,2019.12,100531,F,Number,Business Data Collection - BDC,Industry by employment variable
36,BDCQ.SEA1AA,2020.03,100947,F,Number,Business Data Collection - BDC,Industry by employment variable
37,BDCQ.SEA1AA,2020.06,93239,F,Number,Business Data Collection - BDC,Industry by employment variable
38,BDCQ.SEA1AA,2020.09,92891,F,Number,Business Data Collection - BDC,Industry by employment variable
39,BDCQ.SEA1BA,2011.06,5234,F,Number,Business Data Collection - BDC,Industry by employment variable
40,BDCQ.SEA1BA,2011.09,5268,F,Number,Business Data Collection - BDC,Industry by employment variable
41,BDCQ.SEA1BA,2011.12,5499,F,Number,Business Data Collection - BDC,Industry by employment variable
42,BDCQ.SEA1BA,2012.03,5811,F,Number,Business Data Collection - BDC,Industry by employment variable
43,BDCQ.SEA1BA,2012.06,5847,F,Number,Business Data Collection - BDC,Industry by employment variable
44,BDCQ.SEA1BA,2012.09,5922,F,Number,Business Data Collection - BDC,Industry by employment variable
45,BDCQ.SEA1BA,2012.12,5722,F,Number,Business Data Collection - BDC,Industry by employment variable
46,BDCQ.SEA1BA,2013.03,5487,F,Number,Business Data Collection - BDC,Industry by employment variable
47,BDCQ.SEA1BA,2013.06,5506,F,Number,Business Data Collection - BDC,Industry by employment variable
48,BDCQ.SEA1BA,2013.09,5540,F,Number,Business Data Collection - BDC,Industry by employment variable
49,BDCQ.SEA1BA,2013.12,5492,F,Number,Business Data Collection - BDC,Industry by employment variable
50,BDCQ.SEA1BA,2014.03,6004,F,Number,Business Data Collection - BDC,Industry by employment variable
51,BDCQ.SEA1BA,2014.06,5886,F,Number,Business Data Collection - BDC,Industry by employment variable
52,BDCQ.SEA1BA,2014.09,5815,F,Number,Business Data Collection - BDC,Industry by employment variable
53,BDCQ.SEA1BA,2014.12,5592,F,Number,Business Data Collection - BDC,Industry by employment variable
54,BDCQ.SEA1BA,2015.03,5300,F,Number,Business Data Collection - BDC,Industry by employment variable
55,BDCQ.SEA1BA,2015.06,5422,F,Number,Business Data Collection - BDC,Industry by employment variable
56,BDCQ.SEA1BA,2015.09,5199,F,Number,Business Data Collection - BDC,Industry by employment variable
57,BDCQ.SEA1BA,2015.12,5060,F,Number,Business Data Collection - BDC,Industry by employment variable
58,BDCQ.SEA1BA,2016.03,5194,F,Number,Business Data Collection - BDC,Industry by employment variable
59,BDCQ.SEA1BA,2016.06,5080,F,Number,Business Data Collection - BDC,Industry by employment variable
60,BDCQ.SEA1BA,2016.09,5129,F,Number,Business Data Collection - BDC,Industry by employment variable
61,BDCQ.SEA1BA,2016.12,5157,F,Number,Business Data Collection - BDC,Industry by employment variable
62,BDCQ.SEA1BA,2017.03,5264,F,Number,Business Data Collection - BDC,Industry by employment variable
63,BDCQ.SEA1BA,2017.06,5164,F,Number,Business Data Collection - BDC,Industry by employment variable
64,BDCQ.SEA1BA,2017.09,5208,F,Number,Business Data Collection - BDC,Industry by employment variable
65,BDCQ.SEA1BA,2017.12,5381,F,Number,Business Data Collection - BDC,Industry by employment variable
66,BDCQ.SEA1BA,2018.03,5370,F,Number,Business Data Collection - BDC,Industry by employment variable
67,BDCQ.SEA1BA,2018.06,5385,F,Number,Business Data Collection - BDC,Industry by employment variable
68,BDCQ.SEA1BA,2018.09,5461,F,Number,Business Data Collection - BDC,Industry by employment variable
69,BDCQ.SEA1BA,2018.12,5434,F,Number,Business Data Collection - BDC,Industry by employment variable
70,BDCQ.SEA1BA,2019.03,5437,F,Number,Business Data Collection - BDC,Industry by employment variable
71,BDCQ.SEA1BA,2019.06,5068,F,Number,Business Data Collection - BDC,Industry by employment variable
72,BDCQ.SEA1BA,2019.09,5370,F,Number,Business Data Collection - BDC,Industry by employment variable
73,BDCQ.SEA1BA,2019.12,5165,F,Number,Business Data Collection - BDC,Industry by employment variable
74,BDCQ.SEA1BA,2020.03,5267,F,Number,Business Data Collection - BDC,Industry by employment variable
75,BDCQ.SEA1BA,2020.06,5245,F,Number,Business Data Collection - BDC,Industry by employment variable
76,BDCQ.SEA1BA,2020.09,5318,F,Number,Business Data Collection - BDC,Industry by employment variable
77,BDCQ.SEA1CA,2011.06,206633,F,Number,Business Data Collection - BDC,Industry by employment variable
78,BDCQ.SEA1CA,2011.09,200677,F,Number,Business Data Collection - BDC,Industry by employment variable
79,BDCQ.SEA1CA,2011.12,204217,F,Number,Business Data Collection - BDC,Industry by employment variable
80,BDCQ.SEA1CA,2012.03,208617,F,Number,Business Data Collection - BDC,Industry by employment variable
81,BDCQ.SEA1CA,2012.06,206645,F,Number,Business Data Collection - BDC,Industry by employment variable
82,BDCQ.SEA1CA,2012.09,199425,F,Number,Business Data Collection - BDC,Industry by employment variable
83,BDCQ.SEA1CA,2012.12,203691,F,Number,Business Data Collection - BDC,Industry by employment variable
84,BDCQ.SEA1CA,2013.03,208709,F,Number,Business Data Collection - BDC,Industry by employment variable
85,BDCQ.SEA1CA,2013.06,205207,F,Number,Business Data Collection - BDC,Industry by employment variable
86,BDCQ.SEA1CA,2013.09,201457,F,Number,Business Data Collection - BDC,Industry by employment variable
87,BDCQ.SEA1CA,2013.12,207492,F,Number,Business Data Collection - BDC,Industry by employment variable
88,BDCQ.SEA1CA,2014.03,211991,F,Number,Business Data Collection - BDC,Industry by employment variable
89,BDCQ.SEA1CA,2014.06,210124,F,Number,Business Data Collection - BDC,Industry by employment variable
90,BDCQ.SEA1CA,2014.09,205440,F,Number,Business Data Collection - BDC,Industry by employment variable
91,BDCQ.SEA1CA,2014.12,207594,F,Number,Business Data Collection - BDC,Industry by employment variable
92,BDCQ.SEA1CA,2015.03,214158,F,Number,Business Data Collection - BDC,Industry by employment variable
93,BDCQ.SEA1CA,2015.06,212246,F,Number,Business Data Collection - BDC,Industry by employment variable
94,BDCQ.SEA1CA,2015.09,207462,F,Number,Business Data Collection - BDC,Industry by employment variable
95,BDCQ.SEA1CA,2015.12,211402,F,Number,Business Data Collection - BDC,Industry by employment variable
96,BDCQ.SEA1CA,2016.03,216597,F,Number,Business Data Collection - BDC,Industry by employment variable
97,BDCQ.SEA1CA,2016.06,214710,F,Number,Business Data Collection - BDC,Industry by employment variable
98,BDCQ.SEA1CA,2016.09,209854,F,Number,Business Data Collection - BDC,Industry by employment variable
99,BDCQ.SEA1CA,2016.12,215317,F,Number,Business Data Collection - BDC,Industry by employment variable
100,BDCQ.SEA1CA,2017.03,219090,F,Number,Business Data Collection - BDC,Industry by employment variable
101,BDCQ.SEA1CA,2017.06,219130,F,Number,Business Data Collection - BDC,Industry by employment variable
102,BDCQ.SEA1CA,2017.09,213648,F,Number,Business Data Collection - BDC,Industry by employment variable
103,BDCQ.SEA1CA,2017.12,220066,F,Number,Business Data Collection - BDC,Industry by employment variable
104,BDCQ.SEA1CA,2018.03,225445,F,Number,Business Data Collection - BDC,Industry by employment variable
105,BDCQ.SEA1CA,2018.06,224308,F,Number,Business Data Collection - BDC,Industry by employment variable
106,BDCQ.SEA1CA,2018.09,218059,F,Number,Business Data Collection - BDC,Industry by employment variable
107,BDCQ.SEA1CA,2018.12,223667,F,Number,Business Data Collection - BDC,Industry by employment variable
108,BDCQ.SEA1CA,2019.03,227931,F,Number,Business Data Collection - BDC,Industry by employment variable
109,BDCQ.SEA1CA,2019.06,225492,F,Number,Business Data Collection - BDC,Industry by employment variable
110,BDCQ.SEA1CA,2019.09,220047,F,Number,Business Data Collection - BDC,Industry by employment variable
111,BDCQ.SEA1CA,2019.12,227095,F,Number,Business Data Collection - BDC,Industry by employment variable
112,BDCQ.SEA1CA,2020.03,228672,F,Number,Business Data Collection - BDC,Industry by employment variable
113,BDCQ.SEA1CA,2020.06,224825,F,Number,Business Data Collection - BDC,Industry by employment variable
114,BDCQ.SEA1CA,2020.09,216898,F,Number,Business Data Collection - BDC,Industry by employment variable
115,BDCQ.SEA1DA,2011.06,14486,F,Number,Business Data Collection - BDC,Industry by employment variable
116,BDCQ.SEA1DA,2011.09,14796,F,Number,Business Data Collection - BDC,Industry by employment variable
117,BDCQ.SEA1DA,2011.12,15026,F,Number,Business Data Collection - BDC,Industry by employment variable
118,BDCQ.SEA1DA,2012.03,15065,F,Number,Business Data Collection - BDC,Industry by employment variable
119,BDCQ.SEA1DA,2012.06,15046,F,Number,Business Data Collection - BDC,Industry by employment variable
120,BDCQ.SEA1DA,2012.09,15188,F,Number,Business Data Collection - BDC,Industry by employment variable
121,BDCQ.SEA1DA,2012.12,15269,F,Number,Business Data Collection - BDC,Industry by employment variable
122,BDCQ.SEA1DA,2013.03,15844,F,Number,Business Data Collection - BDC,Industry by employment variable
123,BDCQ.SEA1DA,2013.06,15895,F,Number,Business Data Collection - BDC,Industry by employment variable
124,BDCQ.SEA1DA,2013.09,15773,F,Number,Business Data Collection - BDC,Industry by employment variable
125,BDCQ.SEA1DA,2013.12,16010,F,Number,Business Data Collection - BDC,Industry by employment variable
126,BDCQ.SEA1DA,2014.03,15570,F,Number,Business Data Collection - BDC,Industry by employment variable
127,BDCQ.SEA1DA,2014.06,15347,F,Number,Business Data Collection - BDC,Industry by employment variable
128,BDCQ.SEA1DA,2014.09,15515,F,Number,Business Data Collection - BDC,Industry by employment variable
129,BDCQ.SEA1DA,2014.12,15830,F,Number,Business Data Collection - BDC,Industry by employment variable
130,BDCQ.SEA1DA,2015.03,16017,F,Number,Business Data Collection - BDC,Industry by employment variable
131,BDCQ.SEA1DA,2015.06,15972,F,Number,Business Data Collection - BDC,Industry by employment variable
132,BDCQ.SEA1DA,2015.09,15962,F,Number,Business Data Collection - BDC,Industry by employment variable
133,BDCQ.SEA1DA,2015.12,16143,F,Number,Business Data Collection - BDC,Industry by employment variable
134,BDCQ.SEA1DA,2016.03,16372,F,Number,Business Data Collection - BDC,Industry by employment variable
135,BDCQ.SEA1DA,2016.06,16416,F,Number,Business Data Collection - BDC,Industry by employment variable
136,BDCQ.SEA1DA,2016.09,16533,F,Number,Business Data Collection - BDC,Industry by employment variable
137,BDCQ.SEA1DA,2016.12,16245,F,Number,Business Data Collection - BDC,Industry by employment variable
138,BDCQ.SEA1DA,2017.03,17207,F,Number,Business Data Collection - BDC,Industry by employment variable
139,BDCQ.SEA1DA,2017.06,17243,F,Number,Business Data Collection - BDC,Industry by employment variable
140,BDCQ.SEA1DA,2017.09,17678,F,Number,Business Data Collection - BDC,Industry by employment variable
141,BDCQ.SEA1DA,2017.12,18145,F,Number,Business Data Collection - BDC,Industry by employment variable
142,BDCQ.SEA1DA,2018.03,18505,F,Number,Business Data Collection - BDC,Industry by employment variable
143,BDCQ.SEA1DA,2018.06,18511,F,Number,Business Data Collection - BDC,Industry by employment variable
144,BDCQ.SEA1DA,2018.09,18512,F,Number,Business Data Collection - BDC,Industry by employment variable
145,BDCQ.SEA1DA,2018.12,18812,F,Number,Business Data Collection - BDC,Industry by employment variable
146,BDCQ.SEA1DA,2019.03,18937,F,Number,Business Data Collection - BDC,Industry by employment variable
147,BDCQ.SEA1DA,2019.06,19046,F,Number,Business Data Collection - BDC,Industry by employment variable
148,BDCQ.SEA1DA,2019.09,19316,F,Number,Business Data Collection - BDC,Industry by employment variable
149,BDCQ.SEA1DA,2019.12,19634,F,Number,Business Data Collection - BDC,Industry by employment variable
150,BDCQ.SEA1DA,2020.03,19770,F,Number,Business Data Collection - BDC,Industry by employment variable
151,BDCQ.SEA1DA,2020.06,19791,F,Number,Business Data Collection - BDC,Industry by employment variable
152,BDCQ.SEA1DA,2020.09,19903,F,Number,Business Data Collection - BDC,Industry by employment variable
153,BDCQ.SEA1EA,2011.06,100016,F,Number,Business Data Collection - BDC,Industry by employment variable
154,BDCQ.SEA1EA,2011.09,100783,F,Number,Business Data Collection - BDC,Industry by employment variable
155,BDCQ.SEA1EA,2011.12,102394,F,Number,Business Data Collection - BDC,Industry by employment variable
156,BDCQ.SEA1EA,2012.03,103061,F,Number,Business Data Collection - BDC,Industry by employment variable
157,BDCQ.SEA1EA,2012.06,104955,F,Number,Business Data Collection - BDC,Industry by employment variable
158,BDCQ.SEA1EA,2012.09,105360,F,Number,Business Data Collection - BDC,Industry by employment variable
159,BDCQ.SEA1EA,2012.12,108315,F,Number,Business Data Collection - BDC,Industry by employment variable
160,BDCQ.SEA1EA,2013.03,108983,F,Number,Business Data Collection - BDC,Industry by employment variable
161,BDCQ.SEA1EA,2013.06,112850,F,Number,Business Data Collection - BDC,Industry by employment variable
162,BDCQ.SEA1EA,2013.09,111615,F,Number,Business Data Collection - BDC,Industry by employment variable
163,BDCQ.SEA1EA,2013.12,115478,F,Number,Business Data Collection - BDC,Industry by employment variable
164,BDCQ.SEA1EA,2014.03,117532,F,Number,Business Data Collection - BDC,Industry by employment variable
165,BDCQ.SEA1EA,2014.06,119951,F,Number,Business Data Collection - BDC,Industry by employment variable
166,BDCQ.SEA1EA,2014.09,120120,F,Number,Business Data Collection - BDC,Industry by employment variable
167,BDCQ.SEA1EA,2014.12,123363,F,Number,Business Data Collection - BDC,Industry by employment variable
168,BDCQ.SEA1EA,2015.03,125058,F,Number,Business Data Collection - BDC,Industry by employment variable
169,BDCQ.SEA1EA,2015.06,125669,F,Number,Business Data Collection - BDC,Industry by employment variable
170,BDCQ.SEA1EA,2015.09,125497,F,Number,Business Data Collection - BDC,Industry by employment variable
171,BDCQ.SEA1EA,2015.12,128006,F,Number,Business Data Collection - BDC,Industry by employment variable
172,BDCQ.SEA1EA,2016.03,129884,F,Number,Business Data Collection - BDC,Industry by employment variable
173,BDCQ.SEA1EA,2016.06,132499,F,Number,Business Data Collection - BDC,Industry by employment variable
174,BDCQ.SEA1EA,2016.09,133534,F,Number,Business Data Collection - BDC,Industry by employment variable
175,BDCQ.SEA1EA,2016.12,137679,F,Number,Business Data Collection - BDC,Industry by employment variable
176,BDCQ.SEA1EA,2017.03,140434,F,Number,Business Data Collection - BDC,Industry by employment variable
177,BDCQ.SEA1EA,2017.06,143677,F,Number,Business Data Collection - BDC,Industry by employment variable
178,BDCQ.SEA1EA,2017.09,144629,F,Number,Business Data Collection - BDC,Industry by employment variable
179,BDCQ.SEA1EA,2017.12,148802,F,Number,Business Data Collection - BDC,Industry by employment variable
180,BDCQ.SEA1EA,2018.03,150345,F,Number,Business Data Collection - BDC,Industry by employment variable
181,BDCQ.SEA1EA,2018.06,151978,F,Number,Business Data Collection - BDC,Industry by employment variable
182,BDCQ.SEA1EA,2018.09,150157,F,Number,Business Data Collection - BDC,Industry by employment variable
183,BDCQ.SEA1EA,2018.12,155400,F,Number,Business Data Collection - BDC,Industry by employment variable
184,BDCQ.SEA1EA,2019.03,157823,F,Number,Business Data Collection - BDC,Industry by employment variable
185,BDCQ.SEA1EA,2019.06,159688,F,Number,Business Data Collection - BDC,Industry by employment variable
186,BDCQ.SEA1EA,2019.09,159037,F,Number,Business Data Collection - BDC,Industry by employment variable
187,BDCQ.SEA1EA,2019.12,162608,F,Number,Business Data Collection - BDC,Industry by employment variable
188,BDCQ.SEA1EA,2020.03,163166,F,Number,Business Data Collection - BDC,Industry by employment variable
189,BDCQ.SEA1EA,2020.06,166358,F,Number,Business Data Collection - BDC,Industry by employment variable
190,BDCQ.SEA1EA,2020.09,166301,F,Number,Business Data Collection - BDC,Industry by employment variable
191,BDCQ.SEA1FA,2011.06,90842,F,Number,Business Data Collection - BDC,Industry by employment variable
192,BDCQ.SEA1FA,2011.09,90656,F,Number,Business Data Collection - BDC,Industry by employment variable
193,BDCQ.SEA1FA,2011.12,91957,F,Number,Business Data Collection - BDC,Industry by employment variable
194,BDCQ.SEA1FA,2012.03,91173,F,Number,Business Data Collection - BDC,Industry by employment variable
195,BDCQ.SEA1FA,2012.06,91679,F,Number,Business Data Collection - BDC,Industry by employment variable
196,BDCQ.SEA1FA,2012.09,91486,F,Number,Business Data Collection - BDC,Industry by employment variable
197,BDCQ.SEA1FA,2012.12,93281,F,Number,Business Data Collection - BDC,Industry by employment variable
198,BDCQ.SEA1FA,2013.03,90916,F,Number,Business Data Collection - BDC,Industry by employment variable
199,BDCQ.SEA1FA,2013.06,92010,F,Number,Business Data Collection - BDC,Industry by employment variable
200,BDCQ.SEA1FA,2013.09,91371,F,Number,Business Data Collection - BDC,Industry by employment variable
201,BDCQ.SEA1FA,2013.12,92941,F,Number,Business Data Collection - BDC,Industry by employment variable
202,BDCQ.SEA1FA,2014.03,93004,F,Number,Business Data Collection - BDC,Industry by employment variable
203,BDCQ.SEA1FA,2014.06,93850,F,Number,Business Data Collection - BDC,Industry by employment variable
